Bast;Baška Voda;Splitsko-dalmatinska županija
Bastajski Brđani;Đulovac;Bjelovarsko-bilogorska županija
Bašanija;Umag;Istarska županija
Bašarinka;Poreč;Istarska županija
Bašići;Barban;Istarska županija
Baška;Baška;Primorsko-goranska županija
Baška Voda;Baška Voda;Splitsko-dalmatinska županija
Baške Oštarije;Karlobag;Ličko-senjska županija
Baškoti;Višnjan;Istarska županija
Baštijani;Jelenje;Primorsko-goranska županija
Bater;Novi Vinodolski;Primorsko-goranska županija
Batina;Draž;Osječko-baranjska županija
Batina;Kutina;Sisačko-moslavačka županija
Batinova Kosa;Topusko;Sisačko-moslavačka županija
Batinske;Kalinovac;Koprivničko-križevačka županija
Batinjani;Đulovac;Bjelovarsko-bilogorska županija
Batinjani;Pakrac;Požeško-slavonska županija
Batinjska Rijeka;Đulovac;Bjelovarsko-bilogorska županija
Batlug;Gračišće;Istarska županija
Batnoga;Cetingrad;Karlovačka županija
Batomalj;Baška;Primorsko-goranska županija
Batrina;Nova Kapela;Brodsko-posavska županija
Baturi;Glina;Sisačko-moslavačka županija
Bazgalji;Gračišće;Istarska županija
Bazli;Čabar;Primorsko-goranska županija
Bebrina;Bebrina;Brodsko-posavska županija
Beč;Bosiljevo;Karlovačka županija
Bečic;Oriovac;Brodsko-posavska županija
Bedekovčina;Bedekovčina;Krapinsko-zagorska županija
Bedenec;Ivanec;Varaždinska županija
Bedenica;Bedenica;Zagrebačka županija
Bedenička;Velika Pisanica;Bjelovarsko-bilogorska županija
Bedenik;Nova Rača;Bjelovarsko-bilogorska županija
Beder;Samobor;Zagrebačka županija
Bednja;Bednja;Varaždinska županija
Bednjica;Lepoglava;Varaždinska županija
Begi;Vrsar;Istarska županija
Begluci;Gračac;Zadarska županija
Begovac;Saborsko;Karlovačka županija
Begovača;Berek;Bjelovarsko-bilogorska županija
Begovići;Petrinja;Sisačko-moslavačka županija
Begovo Brdo Žumberačko;Krašić;Zagrebačka županija
Begovo Brdo;Cetingrad;Karlovačka županija
Begovo Razdolje;Mrkopalj;Primorsko-goranska županija
Beketinci;Čepin;Osječko-baranjska županija
Beketinec;Križevci;Koprivničko-križevačka županija
Bektež;Kutjevo;Požeško-slavonska županija
Bela;Novi Marof;Varaždinska županija
Bela Vodica;Delnice;Primorsko-goranska županija
Belaj;Barilović;Karlovačka županija
Belaj;Cerovlje;Istarska županija
Belajska Vinica;Duga Resa;Karlovačka županija
Belajske Poljice;Barilović;Karlovačka županija
Belajski Malinci;Barilović;Karlovačka županija
Belanovo Selo;Rasinja;Koprivničko-križevačka županija
Belavići;Duga Resa;Karlovačka županija
Belavići;Marčana;Istarska županija
Belčići;Jastrebarsko;Zagrebačka županija
Belec;Zlatar;Krapinsko-zagorska županija
Belej;Mali Lošinj;Primorsko-goranska županija
Beletinec;Sveti Ilija;Varaždinska županija
Beli Manastir;Beli Manastir;Osječko-baranjska županija
Beli;Cres;Primorsko-goranska županija
Belica;Belica;Međimurska županija
Belinsko Selo;Ozalj;Karlovačka županija
Belišće;Belišće;Osječko-baranjska županija
Belo Selo;Fužine;Primorsko-goranska županija
Belo;Delnice;Primorsko-goranska županija
Beloslavec;Bedenica;Zagrebačka županija
Belošići;Ozalj;Karlovačka županija
Belovar Zlatarski;Bedekovčina;Krapinsko-zagorska županija
Belovar;Zagreb;Grad Zagreb
Belski Ravan;Skrad;Primorsko-goranska županija
Beljevina;Đurđenovac;Osječko-baranjska županija
Bencani;Oprtalj;Istarska županija
Benčani;Višnjan;Istarska županija
Benčići;Buzet;Istarska županija
Benčići;Žminj;Istarska županija
Beničanci;Magadenovac;Osječko-baranjska županija
Benkovac Fužinski;Fužine;Primorsko-goranska županija
Benkovac;Okučani;Brodsko-posavska županija
Benkovac;Benkovac;Zadarska županija
Benkovačko Selo;Benkovac;Zadarska županija
Benkovec Petrovski;Petrovsko;Krapinsko-zagorska županija
Benkovec;Bednja;Varaždinska županija
Benkovo;Pregrada;Krapinsko-zagorska županija
Berak;Tompojevci;Vukovarsko-srijemska županija
Beram;Pazin;Istarska županija
Beravci;Velika Kopanica;Brodsko-posavska županija
Berek;Berek;Bjelovarsko-bilogorska županija
